cellid,rlf_count_ 1,rlf_count_ 2,rlf_count_ 3,rlf_count_ 4,rlf_count_ 5,rlf_count_ 6,rlf_count_ 7,rlf_count_ 8,rlf_count_ 9,rlf_count_10,rlf_count_11,rlf_count_12,rlf_count_13,rlf_count_14,rlf_count_15,rlf_count_16,rlf_count_17,rlf_count_18,rlf_count_19,rlf_count_20,rlf_count_21,rlf_count_22,rlf_count_23,rlf_count_24,rlf_count_25,rlf_count_26,rlf_count_27,rlf_count_28,rlf_time_ 1,rlf_time_ 2,rlf_time_ 3,rlf_time_ 4,rlf_time_ 5,rlf_time_ 6,rlf_time_ 7,rlf_time_ 8,rlf_time_ 9,rlf_time_10,rlf_time_11,rlf_time_12,rlf_time_13,rlf_time_14,rlf_time_15,rlf_time_16,rlf_time_17,rlf_time_18,rlf_time_19,rlf_time_20,rlf_time_21,rlf_time_22,rlf_time_23,rlf_time_24,rlf_time_25,rlf_time_26,rlf_time_27,rlf_time_28,spont_count_ 1,spont_count_ 2,spont_count_ 3,spont_count_ 4,spont_count_ 5,spont_count_ 6,spont_count_ 7,spont_count_ 8,spont_count_ 9,spont_count_10,spont_count_11,spont_count_12,spont_count_13,spont_count_14,spont_count_15,spont_count_16,spont_count_17,spont_count_18,spont_count_19,spont_count_20,spont_count_21,spont_count_22,spont_count_23,spont_count_24,spont_count_25,spont_count_26,spont_count_27,spont_count_28,spont_time_ 1,spont_time_ 2,spont_time_ 3,spont_time_ 4,spont_time_ 5,spont_time_ 6,spont_time_ 7,spont_time_ 8,spont_time_ 9,spont_time_10,spont_time_11,spont_time_12,spont_time_13,spont_time_14,spont_time_15,spont_time_16,spont_time_17,spont_time_18,spont_time_19,spont_time_20,spont_time_21,spont_time_22,spont_time_23,spont_time_24,spont_time_25,spont_time_26,spont_time_27,spont_time_28,pupil_ 1,pupil_ 2,pupil_ 3,pupil_ 4,pupil_ 5,pupil_ 6,pupil_ 7,pupil_ 8,pupil_ 9,pupil_10,pupil_11,pupil_12,pupil_13,pupil_14,pupil_15,pupil_16,pupil_17,pupil_18,pupil_19,pupil_20,pupil_21,pupil_22,pupil_23,pupil_24,pupil_25,pupil_26,pupil_27,pupil_28,level_ 1,level_ 2,level_ 3,level_ 4,level_ 5,level_ 6,level_ 7,level_ 8,level_ 9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20,level_21,level_22,level_23,level_24,level_25,level_26,level_27,level_28
BOL005c-04-1,29,28,15,20,10,12,11,49,41,21,17,13,5,7,,,,,,,,,,,,,,,2.19,2.22,2.72,2.84,2.77,2.71,2.41,2.61,2.58,2.08,1.96,2.03,2.09,2.39,,,,,,,,,,,,,,,142,142,142,142,142,142,142,320,320,320,320,320,320,320,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-06-1,2,0,3,0,0,0,0,0,3,4,2,1,1,2,,,,,,,,,,,,,,,2.51,1.93,2.53,2.58,2.54,2.64,2.76,2.29,2.87,2.27,2.22,2.26,2.16,2.04,,,,,,,,,,,,,,,38,38,38,38,38,38,38,64,64,64,64,64,64,64,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-09-1,3,6,3,4,2,1,1,0,1,6,2,2,1,0,,,,,,,,,,,,,,,2.19,2.22,2.72,2.84,2.77,2.71,2.41,2.61,2.58,2.08,1.96,2.03,2.09,2.39,,,,,,,,,,,,,,,50,50,50,50,50,50,50,68,68,68,68,68,68,68,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-10-1,2,4,6,5,0,5,2,0,2,2,1,2,0,4,,,,,,,,,,,,,,,2.4,2.42,2.49,2.16,2.74,2.3,2.23,2.4,2.38,2.31,2.64,2.06,2.5,2.57,,,,,,,,,,,,,,,174,174,174,174,174,174,174,272,272,272,272,272,272,272,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-13-1,35,41,48,47,36,32,38,52,52,45,33,26,47,41,,,,,,,,,,,,,,,2.19,2.22,2.72,2.84,2.77,2.71,2.41,2.61,2.58,2.08,1.96,2.03,2.09,2.39,,,,,,,,,,,,,,,1104,1104,1104,1104,1104,1104,1104,1655,1655,1655,1655,1655,1655,1655,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-18-1,57,60,45,46,29,17,16,38,26,29,35,18,20,18,,,,,,,,,,,,,,,2.58,2.96,2.2,2.51,2.85,2.55,2.2,2.22,1.84,2.36,2.29,1.95,2.25,2.6,,,,,,,,,,,,,,,422,422,422,422,422,422,422,603,603,603,603,603,603,603,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-25-1,24,40,38,42,39,34,23,21,16,29,39,25,34,33,,,,,,,,,,,,,,,2.58,2.96,2.2,2.51,2.85,2.55,2.2,2.22,1.84,2.36,2.29,1.95,2.25,2.6,,,,,,,,,,,,,,,1050,1050,1050,1050,1050,1050,1050,1496,1496,1496,1496,1496,1496,1496,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-27-1,44,32,41,59,48,23,32,63,51,35,42,41,29,34,,,,,,,,,,,,,,,2.19,2.22,2.72,2.84,2.77,2.71,2.41,2.61,2.58,2.08,1.96,2.03,2.09,2.39,,,,,,,,,,,,,,,787,787,787,787,787,787,787,1115,1115,1115,1115,1115,1115,1115,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-33-1,10,3,8,5,5,9,7,5,4,4,2,3,4,5,,,,,,,,,,,,,,,2.51,1.93,2.53,2.58,2.54,2.64,2.76,2.29,2.87,2.27,2.22,2.26,2.16,2.04,,,,,,,,,,,,,,,125,125,125,125,125,125,125,194,194,194,194,194,194,194,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-34-1,12,3,0,3,5,0,0,4,5,8,4,3,1,0,,,,,,,,,,,,,,,2.51,2.5,2.46,2.49,2.17,2.38,2.85,2.29,2.3,1.86,2.31,2.63,2.42,1.95,,,,,,,,,,,,,,,94,94,94,94,94,94,94,97,97,97,97,97,97,97,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
